iter	MultiClass
0	1.473407649
1	1.359075055
2	1.269624312
3	1.191211575
4	1.12467543
5	1.063880057
6	1.019819139
7	0.9779164506
8	0.9386398668
9	0.9048492274
10	0.8763685948
11	0.8482437099
12	0.8244523329
13	0.8022988618
14	0.7809117447
15	0.7616933441
16	0.7412810595
17	0.7249944923
18	0.7106144976
19	0.6965986177
20	0.6833060227
21	0.6725633982
22	0.6615515664
23	0.6512682153
24	0.6387000416
25	0.6292605964
26	0.6220232808
27	0.6144724061
28	0.603429245
29	0.5967381292
30	0.5877045292
31	0.5820280915
32	0.568267723
33	0.5627653919
34	0.5586790228
35	0.5539339879
36	0.5458449894
37	0.5380704646
38	0.5314880048
39	0.5272441548
40	0.5242109605
41	0.5210032314
42	0.5156586152
43	0.513515974
44	0.5110663448
45	0.5048622778
46	0.5001811088
47	0.4977972374
48	0.4956043988
49	0.4890825214
50	0.4864155517
51	0.4845231096
52	0.4822730196
53	0.4778556818
54	0.4745569281
55	0.4730271318
56	0.4678773811
57	0.4664221788
58	0.4623395447
59	0.4587449705
60	0.4577239978
61	0.4565702469
62	0.4546437538
63	0.4531945635
64	0.4508862079
65	0.4430557086
66	0.4416051764
67	0.4402928795
68	0.438299819
69	0.4313481176
70	0.4268803153
71	0.4257553758
72	0.4198993587
73	0.418708743
74	0.4177507044
75	0.4163159904
76	0.4151483385
77	0.4113096828
78	0.4072961401
79	0.4060116344
80	0.4043828187
81	0.4036044339
82	0.4030669721
83	0.402121192
84	0.3987682874
85	0.3982130348
86	0.3974042408
87	0.3963756304
88	0.3928699455
89	0.3906612553
90	0.3898789795
91	0.3891324619
92	0.3878378793
93	0.383592024
94	0.3823272114
95	0.3815120199
96	0.3806900117
97	0.3797983634
98	0.3790123468
99	0.37779678
100	0.3759744632
101	0.3741058557
102	0.3728579437
103	0.3719543038
104	0.3707751614
105	0.3698936389
106	0.3677571937
107	0.3666723402
108	0.3661428261
109	0.3654225966
110	0.3650339334
111	0.3641881666
112	0.3632553543
113	0.3621061569
114	0.359834597
115	0.3593053324
116	0.3587439752
117	0.3574881304
118	0.3567083355
119	0.3559671879
120	0.3554478831
121	0.3531865903
122	0.3523029597
123	0.3500962344
124	0.3494874477
125	0.3482570425
126	0.3467103764
127	0.3446807982
128	0.3441364185
129	0.343593551
130	0.3427152431
131	0.3417794046
132	0.3412757441
133	0.3397318674
134	0.3393843017
135	0.3388101723
136	0.3380911801
137	0.3332790384
138	0.3328028513
139	0.3288030218
140	0.327822933
141	0.3270923485
142	0.3266955292
143	0.325222233
144	0.3243064431
145	0.3229615506
146	0.3225703011
147	0.3190039702
148	0.318301832
149	0.3159353008
150	0.3155147904
151	0.3151025388
152	0.3144303725
153	0.3137607197
154	0.3132692113
155	0.3130037214
156	0.3126395748
157	0.3122298596
158	0.3111593737
159	0.3106806246
160	0.3101501448
161	0.3086854717
162	0.3082259024
163	0.3077483182
164	0.3071174552
165	0.3064461184
166	0.3058485395
167	0.3053091523
168	0.304878821
169	0.3038200259
170	0.3031368323
171	0.3025809964
172	0.3020452053
173	0.3015704397
174	0.2996015921
175	0.299097626
176	0.2984727823
177	0.2979965089
178	0.2974622698
179	0.296867119
180	0.2965084486
181	0.2961409018
182	0.2960290568
183	0.2957379203
184	0.2953899999
185	0.2941949682
186	0.2937022023
187	0.2930809011
188	0.2928814519
189	0.2925499496
190	0.2921791003
191	0.2919932835
192	0.291299801
193	0.2893226475
194	0.2886473058
195	0.2874315363
196	0.2872476113
197	0.2867342999
198	0.2864956389
199	0.2861619906
200	0.2858056573
201	0.2853513365
202	0.2850541608
203	0.2847485728
204	0.2844208194
205	0.2840400904
206	0.2825157258
207	0.2822345361
208	0.281992825
209	0.2817052651
210	0.2813275432
211	0.2811849829
212	0.2809302884
213	0.2806223257
214	0.2802391177
215	0.2796915236
216	0.2796227005
217	0.2794105316
218	0.2785068902
219	0.2782277228
220	0.2779779234
221	0.2758211824
222	0.2746910301
223	0.2744901451
224	0.2742584227
225	0.2739356931
226	0.2738735977
227	0.2736324462
228	0.2733688038
229	0.2730354555
230	0.2728266807
231	0.2726326364
232	0.2722016082
233	0.2718594884
234	0.2715273429
235	0.2701640562
236	0.2698291626
237	0.2696064275
238	0.2693033574
239	0.2683520813
240	0.2680599319
241	0.2677475574
242	0.267475828
243	0.267316953
244	0.2672566989
245	0.2670789616
246	0.2667751424
247	0.2666113443
248	0.2665083247
249	0.2664323781
250	0.266236492
251	0.2659558505
252	0.2658143394
253	0.265544668
254	0.2635112652
255	0.2633350585
256	0.2630405897
257	0.2629052076
258	0.2625220997
259	0.2623405277
260	0.2622439939
261	0.2619078153
262	0.261752822
263	0.2615593976
264	0.2613504512
265	0.2611355896
266	0.2608496974
267	0.2606904333
268	0.2602974245
269	0.2599447731
270	0.2598227058
271	0.2593840592
272	0.2590502552
273	0.2579047521
274	0.257481206
275	0.257360564
276	0.2571850353
277	0.256998374
278	0.2566290134
279	0.2564271942
280	0.256251234
281	0.25612248
282	0.2560356651
283	0.2560166378
284	0.2557279505
285	0.25563014
286	0.2555812858
287	0.2553303175
288	0.255175848
289	0.2549837496
290	0.2538043142
291	0.2532765054
292	0.2531904014
293	0.2528105638
294	0.252709835
295	0.2524636169
296	0.2521648055
297	0.2520028991
298	0.2518745095
299	0.2517004688
