iter	Passed	Remaining
0	139	41646
1	295	44073
2	426	42186
3	551	40789
4	679	40112
5	809	39668
6	940	39377
7	1069	39020
8	1232	39850
9	1358	39390
10	1491	39198
11	1617	38825
12	1745	38533
13	1875	38310
14	2004	38085
15	2128	37786
16	2266	37733
17	2407	37711
18	2534	37478
19	2663	37284
20	2789	37057
21	2919	36887
22	3062	36885
23	3195	36744
24	3321	36532
25	3453	36390
26	3583	36234
27	3710	36044
28	3838	35872
29	3967	35709
30	4103	35605
31	4235	35468
32	4397	35580
33	4524	35394
34	4642	35150
35	4766	34957
36	4893	34780
37	5015	34578
38	5135	34370
39	5264	34216
40	5376	33965
41	5494	33753
42	5620	33592
43	5736	33377
44	5890	33379
45	6019	33237
46	6130	33001
47	6252	32828
48	6369	32629
49	6481	32407
50	6608	32263
51	6728	32091
52	6840	31877
53	6969	31748
54	7079	31535
55	7192	31337
56	7318	31200
57	7433	31016
58	7548	30831
59	7673	30693
60	7780	30482
61	7885	30271
62	8004	30113
63	8119	29939
64	8252	29837
65	8378	29705
66	8529	29660
67	8653	29522
68	8770	29360
69	8888	29203
70	9010	29061
71	9122	28888
72	9238	28727
73	9357	28578
74	9469	28408
75	9588	28262
76	9707	28113
77	9828	27972
78	9949	27832
79	10071	27695
80	10212	27612
81	10328	27459
82	10433	27279
83	10550	27130
84	10684	27024
85	10793	26859
86	10912	26717
87	11075	26681
88	11216	26590
89	11336	26451
90	11463	26327
91	11577	26175
92	11694	26030
93	11830	25926
94	11961	25812
95	12076	25663
96	12195	25522
97	12317	25388
98	12441	25260
99	12594	25188
100	12731	25084
101	12853	24950
102	12989	24844
103	13116	24719
104	13238	24585
105	13366	24462
106	13492	24337
107	13618	24211
108	13734	24066
109	13854	23930
110	13960	23771
111	14088	23649
112	14202	23503
113	14322	23369
114	14444	23236
115	14558	23093
116	14663	22935
117	14818	22856
118	14942	22727
119	15068	22603
120	15173	22446
121	15293	22313
122	15412	22178
123	15539	22056
124	15660	21924
125	15790	21806
126	15903	21663
127	16021	21528
128	16131	21383
129	16249	21249
130	16359	21104
131	16476	20970
132	16586	20826
133	16724	20718
134	16840	20582
135	16946	20435
136	17056	20293
137	17188	20177
138	17303	20041
139	17432	19923
140	17541	19780
141	17662	19653
142	17772	19512
143	17897	19389
144	18026	19270
145	18151	19146
146	18254	18999
147	18381	18878
148	18495	18744
149	18617	18617
150	18731	18483
151	18838	18343
152	18956	18213
153	19069	18079
154	19177	17940
155	19302	17817
156	19431	17699
157	19539	17560
158	19655	17430
159	19838	17358
160	19954	17227
161	20077	17103
162	20186	16966
163	20317	16848
164	20452	16733
165	20571	16606
166	20698	16484
167	20837	16372
168	20986	16267
169	21103	16138
170	21225	16012
171	21341	15882
172	21467	15759
173	21579	15626
174	21731	15522
175	21884	15418
176	22006	15292
177	22132	15169
178	22278	15059
179	22397	14931
180	22516	14803
181	22628	14671
182	22732	14533
183	22853	14407
184	22960	14272
185	23076	14143
186	23205	14022
187	23340	13904
188	23459	13777
189	23585	13655
190	23714	13533
191	23811	13393
192	23889	13244
193	23958	13090
194	24038	12943
195	24137	12807
196	24203	12654
197	24272	12503
198	24328	12347
199	24382	12191
200	24452	12043
201	24528	11900
202	24596	11753
203	24658	11603
204	24702	11447
205	24753	11295
206	24800	11142
207	24854	10993
208	24902	10842
209	24951	10693
210	25005	10547
211	25054	10400
212	25099	10251
213	25148	10106
214	25207	9965
215	25299	9838
216	25352	9697
217	25400	9554
218	25449	9412
219	25500	9273
220	25548	9132
221	25607	8997
222	25659	8860
223	25703	8720
224	25746	8582
225	25792	8445
226	25835	8308
227	25882	8173
228	25925	8037
229	25973	7904
230	26021	7772
231	26070	7641
232	26123	7512
233	26172	7382
234	26218	7251
235	26266	7123
236	26311	6994
237	26355	6865
238	26400	6738
239	26441	6610
240	26487	6484
241	26531	6358
242	26576	6234
243	26616	6108
244	26656	5984
245	26699	5860
246	26744	5738
247	26787	5616
248	26829	5495
249	26872	5374
250	26912	5253
251	26958	5134
252	27004	5016
253	27058	4900
254	27118	4785
255	27168	4669
256	27216	4553
257	27257	4437
258	27302	4321
259	27344	4206
260	27388	4092
261	27439	3979
262	27483	3866
263	27524	3753
264	27576	3642
265	27617	3530
266	27665	3419
267	27713	3309
268	27760	3199
269	27806	3089
270	27847	2979
271	27902	2872
272	27960	2765
273	28020	2658
274	28072	2552
275	28119	2445
276	28168	2338
277	28216	2232
278	28264	2127
279	28312	2022
280	28360	1917
281	28408	1813
282	28453	1709
283	28494	1605
284	28543	1502
285	28588	1399
286	28636	1297
287	28684	1195
288	28728	1093
289	28772	992
290	28821	891
291	28870	790
292	28918	690
293	28965	591
294	29010	491
295	29061	392
296	29113	294
297	29155	195
298	29201	97
299	29246	0
